"SLNG_YMD","SWAY_CD","SLNG_TM","CBN_CD","CBN_NO","SHPCO_CD","SHIP_CD","NOFL","CBN_TYP","PNCBN","MKRV_CNT","HOLD_CNT","PREO_CNT","OCC_CNT","RMN_CNT","DSGN_SEAT_YN","CLPORT_YN","EXPN","REG_ID","REG_DT"
"20231009","LNCJWD","1930","CB210","5203","HXF","SHP02","5","CTFL0","25","6","10","-2","4.0","11","N","N",\N,"ddagency12","2023-08-21 14:09:44"
"20231001","LNCJWD","1930","CB310","5308","HXF","SHP02","5","CTFL0","41","47","0","-6","38.5","0","N","N",\N,"GUEST","2023-08-21 10:54:27"
"20230927","LNCJWD","0720","CB310","5301","HXF","SHP02","5","CTFL0","41","21","21","-1","16.5","0","N","N",\N,"BATCH","2023-08-21 08:53:12"
"20230929","LNRSCJ","0020","CB310","6303","HXF","SHP01","6","CTFL0","74","76","0","-2","67.0","0","N","N",\N,"GUEST","2023-08-20 21:14:20"
"20230930","LNCJWD","1710","CB310","5302","HXF","SHP03","5","CTFL0","48","49","0","-1","45.0","0","N","N",\N,"BATCH","2023-08-20 19:06:41"
"20230902","LNCJWD","0720","CBB00","6221","HXF","SHP03","6","CTBD0","20","0","2","19","0.0","-1","N","N",\N,"wdcsi","2023-08-20 11:00:12"
"20231002","LNCJWD","1710","CBD00","5402","HXF","SHP03","5","CTBD0","28","0","56","0","0.0","-28","N","N",\N,"jjkhh","2023-08-19 13:15:02"
"20231003","LNCJWD","1710","CBD00","5402","HXF","SHP03","5","CTBD0","28","0","56","0","0.0","-28","N","N",\N,"jjkhh","2023-08-19 12:43:20"
"20231001","LNCJWD","1710","CBD00","5402","HXF","SHP03","5","CTBD0","28","0","56","0","0.0","-28","N","N",\N,"jjkhh","2023-08-19 12:38:59"
"20230930","LNCJWD","1710","CBD00","5402","HXF","SHP03","5","CTBD0","28","0","56","0","0.0","-28","N","N",\N,"jjkhh","2023-08-19 12:38:42"
"20230929","LNCJWD","1710","CBD00","5402","HXF","SHP03","5","CTBD0","28","0","56","0","0.0","-28","N","N",\N,"jjkhh","2023-08-19 12:38:26"
"20230928","LNCJWD","1710","CBD00","5402","HXF","SHP03","5","CTBD0","28","0","56","0","0.0","-28","N","N",\N,"jjkhh","2023-08-19 12:38:05"
